date,AUTOMOTIVE,BABY CARE,BEAUTY,BEVERAGES,BOOKS,BREAD/BAKERY,CELEBRATION,CLEANING,DAIRY,DELI,EGGS,FROZEN FOODS,GROCERY I,GROCERY II,HARDWARE,HOME AND KITCHEN I,HOME AND KITCHEN II,HOME APPLIANCES,HOME CARE,LADIESWEAR,LAWN AND GARDEN,LINGERIE,"LIQUOR,WINE,BEER",MAGAZINES,MEATS,PERSONAL CARE,PET SUPPLIES,PLAYERS AND ELECTRONICS,POULTRY,PREPARED FOODS,PRODUCE,SCHOOL AND OFFICE SUPPLIES,SEAFOOD
2016-01-01 00:00:00 +0000,4,,13,5104,,680.952,13,734,1033,295.181,230,596.125,3247,28,4,61,6,1,217,,11,17,733,16,397.749,226,2,10,261.179,94.699,2384.509,,13
2016-01-02 00:00:00 +0000,625,9,382,250510,,33464.574,1040,93377,55039,22591.372,12032,11795.281,309417.193,1886,106,2525,1760,54,24518,959,368,406,9517,359,22850.043,29527,419,749,25309.536,7329.263,146126.164,145,1481.998
2016-01-03 00:00:00 +0000,661,17,424,299177,,40905.38,732,103544,68371,25365.567,14589,11447.521,347681.911,1882,104,1915,1663,51,27415,1504,295,356,,282,24417.722,33843,465,863,26105.508,7224.984,183392.022,223,1819.103
2016-01-04 00:00:00 +0000,407,18,296,217525,,31278.868,575,83979,52242,18488.887,12998,8546.223,272978.806,1273,82,1508,1303,33,20403,520,190,255,3249,128,19750.153,25288,287,527,19478.054,5783.659,155059.507,114,1392.718
2016-01-05 00:00:00 +0000,338,4,279,187069,,27189.877,616,72688,45174,16308.949,9357,8191.186,234212.722,1297,65,1417,1346,23,17293,562,126,226,2959,134,18885.021,20842,303,398,20233.734,5435.5,141014.123,118,1200.327
2016-01-06 00:00:00 +0000,358,6,191,170360,,25631.93,711,67105,44103,14417.93,8484,8208.031,220632.777,1161,61,1530,1448,28,15724,464,276,220,3516,90,18418.003,18383,235,393,20526.46,5682.647,171846.159,96,1378.719
2016-01-07 00:00:00 +0000,291,14,187,143636,,21621.988,677,56219,35817,12658.458,6687,6695.146,183343.476,847,70,1459,1254,25,12983,454,164,212,3937,104,18593.698,16184,287,356,17001.672,5185.58,105482.505,75,982.844
2016-01-08 00:00:00 +0000,311,8,194,152225,,22463.518,816,56947,39047,15152.446,8699,8568.511,194604.367,1040,60,1484,1400,28,12672,417,287,189,6949,150,26671.581,14941,280,371,25794.365,5921.534,114415.127,52,1449.885
2016-01-09 00:00:00 +0000,497,11,301,227854,,30215.911,1140,83186,54729,19033.405,10200,12475.255,277982.051,1410,95,2012,2217,36,20362,933,332,282,10214,326,21369.004,24168,462,613,25536.605,7442.761,152089.421,97,1587.045
2016-01-10 00:00:00 +0000,530,13,339,263121,,37516.12,783,85966,62798,22181.325,12681,10042.072,310926.818,1394,111,1827,1899,48,22752,938,301,319,,326,23137.836,27605,485,677,28438.549,7471.181,168121.595,156,1789.341
